studentId,mean_proficiency_2017,mean_proficiency_2018,studentLevel2017,studentLevel2018
44884,0.6796902499120028,0.7568505029483177,5,6
44885,0.9674410418866596,0.9608047173083594,5,6
44886,0.9777355885398689,0.9930038366057324,6,7
44887,0.963583016914049,0.9832994809298127,6,7
44888,1.0975146703486365,1.0897088693297226,6,7
44889,1.0346910597169485,1.0211013315278719,6,7
44890,0.9197465681098205,0.9278529309746791,5,6
44891,1.0895754228512256,1.0519070187316633,6,7
44892,1.0331377286848464,1.0381403746332658,6,7
44893,0.8382809803244735,0.8191153238546603,6,7
44895,0.9587504314808423,0.9205596930715414,6,7
44896,1.0465999309630654,1.0666892349356805,6,7
44897,0.9037310806054206,0.9302809573361083,5,6
44898,0.9473593372454263,0.979801399232679,6,7
44899,1.0017259233690023,1.0055292259083728,6,7
44900,0.9150845702450812,0.9211238997968856,6,7
44901,0.9658267172937521,0.9491085533739563,6,7
44902,0.7712073213657162,0.8972135506995028,5,6
44903,0.8988608905764583,0.937034529451591,6,7
44904,0.9937866758715912,0.9439178515007899,6,7
44905,0.896444597859855,0.928232904536222,6,7
44906,0.887124611667242,0.8686526743398781,6,7
44907,1.030031066620642,1.0486346197246672,6,7
44908,1.018467380048326,1.0306928458587226,6,7
44909,1.099413186054539,1.1267208305122998,6,7
44910,0.9644459785985502,0.9593771157752201,6,7
44911,0.9378667587159131,0.9892800722184608,6,7
44912,0.9767000345184673,0.9168359286842699,6,7
44913,0.7797721781152916,0.8293838862559242,6,7
44914,0.8518127419922563,0.911666088565152,5,6
44915,0.9734248504047871,0.9491270667129147,5,6
44916,1.0060407317915085,1.0198600767321147,6,7
44917,0.9111149464963755,0.9434664861205145,6,7
44918,0.760471664906723,0.8650711064862989,5,6
44919,0.9228512254055921,0.916046039268788,6,7
44920,0.9288982752551919,0.9824257139553706,5,6
44921,0.9442526751812219,0.9577973369442564,6,7
44922,0.9204349326889886,0.9178515007898894,6,7
44923,0.804822245688138,0.7947739623077812,5,6
44924,1.025716258198136,1.0604829609568946,6,7
44925,1.0174234424498416,1.0248583651289167,5,6
44926,0.9858474283741803,1.0543895283231777,6,7
44927,1.0067311011391094,1.037801850598059,6,7
44928,1.1139109423541596,1.1121642969984202,6,7
44929,1.0362443907490508,1.0245994132250058,6,7
44930,0.9111149464963755,0.9482058226134056,6,7
44931,0.9732481877804626,0.9541864139020536,6,7
44932,0.8028995512599241,0.8360415256149855,6,7
44933,1.0119088712461166,0.88298352516362,6,7
44934,0.9301001035554022,0.9128864816068608,6,7
44935,0.9301001035554022,0.9655833897540059,6,7
44936,0.877507919746568,0.916984622499711,5,6
44938,1.0055229547808078,0.9803656059580229,6,7
44939,1.0279599585778392,1.0495373504852177,6,7
44940,1.030031066620642,1.0248250959151433,6,7
44941,1.0405591991715568,1.1311216429699842,6,7
44942,0.7555438225976768,0.8414845646895595,5,6
44943,0.9788806758183739,1.0321424442132037,5,6
44944,1.001759943681802,1.0228928199791882,5,6
44946,1.0642379443857797,1.0983928777893397,5,6
44947,1.029743048222457,1.087755809920222,5,6
44948,0.8702921506511792,0.8674991328477281,5,6
44949,1.0272791270679338,1.0420857902647704,5,6
44950,0.9252023935234073,0.9959532893976183,5,6
44951,1.0329109468497009,1.0885651520406983,5,6
